"filename", "language", "JSON", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\user-table\password-form-modal.tsx", "TypeScript JSX", 0, 44, 0, 0, 10, 54
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\user-table\styles.ts", "TypeScript", 0, 0, 44, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\user-table\table.tsx", "TypeScript JSX", 0, 252, 0, 0, 23, 275
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\closing-stocks\index.tsx", "TypeScript JSX", 0, 36, 0, 0, 6, 42
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\closing-stocks\styles.ts", "TypeScript", 0, 0, 44, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\closing-stocks\table.tsx", "TypeScript JSX", 0, 150, 0, 16, 18, 184
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\in-stocks\index.tsx", "TypeScript JSX", 0, 37, 0, 0, 7, 44
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\in-stocks\styles.ts", "TypeScript", 0, 0, 51, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\in-stocks\table.tsx", "TypeScript JSX", 0, 251, 0, 8, 26, 285
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\invoice-records\index.tsx", "TypeScript JSX", 0, 37, 0, 0, 7, 44
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\invoice-records\styles.ts", "TypeScript", 0, 0, 51, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\invoice-records\table.tsx", "TypeScript JSX", 0, 249, 0, 8, 26, 283
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\out-stocks\index.tsx", "TypeScript JSX", 0, 37, 0, 0, 7, 44
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\out-stocks\styles.ts", "TypeScript", 0, 0, 51, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\warehouse-table\out-stocks\table.tsx", "TypeScript JSX", 0, 246, 0, 8, 26, 280
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\pages\layout.tsx", "TypeScript JSX", 0, 50, 0, 0, 2, 52
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\pages\root.tsx", "TypeScript JSX", 0, -20, 0, -6, -1, -27
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\routes\index.tsx", "TypeScript JSX", 0, 65, 0, 0, 4, 69
"Total", "-", 1, 8257, 2320, 530, 1260, 12368
